ContainerID,language,dimension,Size,L_Value,Timestamp,sum_t0,sum_tmax,t_exec,peak_mem
273b8813fa4c,julia,3d,high,100,17:32:31,35937.0,35937.0,26.684566171,24000528
756862dc4c61,julia,3d,mid,75,17:33:25,15625.0,15625.0,11.295385915,10125648
f3b5ea8df0ee,julia,3d,mid,75,17:37:23,15625.0,15625.0,11.39662166,10125648
eed9a55cf00d,julia,3d,mid,75,17:43:37,15625.0,15625.0,11.351908098,10125648
2e54674d1b3b,julia,3d,high,100,17:44:30,35937.0,35937.0,26.576384515,24000528
845d7d0131a7,julia,3d,high,100,17:45:26,35937.0,35937.0,26.695445544,24000528
f415f6b14e36,julia,3d,high,100,17:47:16,35937.0,35937.0,26.636558671,24000528
49b30fbf781d,julia,3d,high,100,17:50:58,35937.0,35937.0,26.604733585,24000528
6e53a4196da0,julia,3d,mid,75,17:53:56,15625.0,15625.0,11.367745624,10125648
b882301bc184,julia,3d,low,50,17:56:03,4913.0,4913.0,3.38964164,3000528
efb0d341415f,julia,3d,low,50,18:00:32,4913.0,4913.0,3.401932031,3000528
aef06839fa83,julia,3d,high,100,18:03:45,35937.0,35937.0,26.727090804,24000528
201e1bec2030,julia,3d,mid,75,18:04:22,15625.0,15625.0,11.312761973,10125648
23463bbc8ca7,julia,3d,mid,75,18:04:59,15625.0,15625.0,11.298303265,10125648
abc93531bbd9,julia,3d,high,100,18:06:28,35937.0,35937.0,26.740522956,24000528
421eeb170e32,julia,3d,high,100,18:07:21,35937.0,35937.0,26.73464181,24000528
8a004f72c27d,julia,3d,low,50,18:10:06,4913.0,4913.0,3.388346499,3000528
bb633bb807ca,julia,3d,low,50,18:16:07,4913.0,4913.0,3.398689461,3000528
a3b890de0b05,julia,3d,high,100,18:17:33,35937.0,35937.0,26.802330465,24000528
3860cb066f9c,julia,3d,low,50,18:18:09,4913.0,4913.0,3.396382792,3000528
38064250fa74,julia,3d,high,100,18:19:08,35937.0,35937.0,26.709790943,24000528
