ContainerID,language,dimension,Size,L_Value,Timestamp,sum_t0,sum_tmax,t_exec,peak_mem
b752a3a2489a,julia,2d,high,1000,17:34:42,110889.00000000003,110889.0,18.685913506,24000480
b0161f848011,julia,2d,mid,750,17:35:28,62500.0,62500.0,9.300715498,13500576
91e16ed1acc8,julia,2d,mid,750,17:35:45,62500.0,62500.0,9.289261879,13500576
a8c2dd13e6fe,julia,2d,low,500,17:37:34,27889.0,27889.0,3.972508912,6000480
dbb114ba013e,julia,2d,high,1000,17:40:25,110889.00000000003,110889.0,18.627312856,24000480
0b8266eddc0a,julia,2d,low,500,17:42:30,27889.0,27889.0,4.083732399,6000480
e8ca483c1c5c,julia,2d,mid,750,17:48:23,62500.0,62500.0,9.314043062,13500576
5dcb1a0856c9,julia,2d,mid,750,17:51:15,62500.0,62500.0,9.441998773,13500576
86053b49504d,julia,2d,low,500,17:56:52,27889.0,27889.0,3.980281816,6000480
7b253030b430,julia,2d,high,1000,17:58:36,110889.00000000003,110889.0,18.7711974,24000480
cbedcbd13cbf,julia,2d,mid,750,17:58:59,62500.0,62500.0,9.39739378,13500576
3faabe254164,julia,2d,low,500,17:59:10,27889.0,27889.0,4.001397863,6000480
05ab492f7d64,julia,2d,mid,750,18:00:48,62500.0,62500.0,9.306038986,13500576
980cadcb6167,julia,2d,low,500,18:01:05,27889.0,27889.0,4.000860127,6000480
d782212cd11c,julia,2d,low,500,18:01:17,27889.0,27889.0,3.96081523,6000480
5404d8b4d016,julia,2d,low,500,18:01:31,27889.0,27889.0,3.98135193,6000480
4359b6abd0ee,julia,2d,high,1000,18:02:52,110889.00000000003,110889.0,18.440694114,24000480
b4d21a4b0bda,julia,2d,mid,750,18:08:47,62500.0,62500.0,9.355568098,13500576
507d3589e04d,julia,2d,high,1000,18:09:36,110889.00000000003,110889.0,18.599965015,24000480
2a622c26d658,julia,2d,low,500,18:14:32,27889.0,27889.0,3.960395624,6000480
b4ee6aac527f,julia,2d,mid,750,18:23:16,62500.0,62500.0,9.276802843,13500576
f49b8067d5d9,julia,2d,high,1000,18:25:09,110889.00000000003,110889.0,18.697325581,24000480
0ec583a8d641,julia,2d,mid,750,18:26:38,62500.0,62500.0,9.317209949,13500576
d175898c5ac5,julia,2d,low,500,18:26:49,27889.0,27889.0,4.039893923,6000480
8b2fbb02834a,julia,2d,mid,750,18:33:33,62500.0,62500.0,9.383525179,13500576
d87fc8ebe35b,julia,2d,high,1000,18:36:14,110889.00000000003,110889.0,18.698167482,24000480
38b2bcc8737c,julia,2d,mid,750,18:36:31,62500.0,62500.0,9.36106158,13500576
8da772a24986,julia,2d,high,1000,18:37:51,110889.00000000003,110889.0,18.570629261,24000480
d55531600847,julia,2d,high,1000,18:38:18,110889.00000000003,110889.0,18.600530821,24000480
6685ae92fbf0,julia,2d,low,500,18:40:56,27889.0,27889.0,4.009067861,6000480
a0381e631931,julia,2d,mid,750,18:42:33,62500.0,62500.0,9.360955205,13500576
6077221647b0,julia,2d,high,1000,18:46:56,110889.00000000003,110889.0,18.837932812,24000480
be3e506192d3,julia,2d,low,500,18:47:39,27889.0,27889.0,3.96975986,6000480
8fa7e07d1f8c,julia,2d,mid,750,18:51:26,62500.0,62500.0,9.346800014,13500576
8bdd8bb04bbf,julia,2d,high,1000,18:51:53,110889.00000000003,110889.0,18.857977631,24000480
57c0004322a6,julia,2d,high,1000,18:52:20,110889.00000000003,110889.0,18.657855599,24000480
ac7642c561d8,julia,2d,mid,750,18:59:10,62500.0,62500.0,9.302207857,13500576
8c09e0623af6,julia,2d,high,1000,18:59:59,110889.00000000003,110889.0,18.548232208,24000480
5460ec945e88,julia,2d,mid,750,19:04:09,62500.0,62500.0,9.419161289,13500576
77cf295381fb,julia,2d,mid,750,19:10:43,62500.0,62500.0,9.305229636,13500576
ed0f6574f56c,julia,2d,low,500,19:10:57,27889.0,27889.0,3.96684259,6000480
01f4dada5311,julia,2d,mid,750,19:11:14,62500.0,62500.0,9.407817473,13500576
6970442414f1,julia,2d,low,500,19:12:05,27889.0,27889.0,4.002327625,6000480
8c1fe690512d,julia,2d,high,1000,19:12:32,110889.00000000003,110889.0,18.629079455,24000480
b7767cc7d7f8,julia,2d,low,500,19:12:43,27889.0,27889.0,4.027636911,6000480
70619a6c863d,julia,2d,low,500,19:13:56,27889.0,27889.0,3.983566299,6000480
db160b6ab4e6,julia,2d,low,500,19:15:01,27889.0,27889.0,4.006885327,6000480
5a90aaaa932f,julia,2d,low,500,19:18:17,27889.0,27889.0,4.029593113,6000480
91abe1ec7ce8,julia,2d,high,1000,19:19:56,110889.00000000003,110889.0,18.922344903,24000480
4ba987a9b2a7,julia,2d,mid,750,19:25:48,62500.0,62500.0,9.345245137,13500576
4fdd923d87fb,julia,2d,mid,750,19:33:41,62500.0,62500.0,9.345706649,13500576
30dfe2cec049,julia,2d,low,500,19:39:59,27889.0,27889.0,4.093244905,6000480
81ef52cf6747,julia,2d,mid,750,19:40:15,62500.0,62500.0,9.342456495,13500576
dad444efab56,julia,2d,high,1000,19:40:45,110889.00000000003,110889.0,18.504016259,24000480
d8832d47e820,julia,2d,mid,750,19:41:01,62500.0,62500.0,9.35042227,13500576
115a641c0b1a,julia,2d,mid,750,19:42:16,62500.0,62500.0,9.387355417,13500576
52d00402dfe2,julia,2d,low,500,19:43:36,27889.0,27889.0,3.984070547,6000480
5c7ba4b50460,julia,2d,low,500,19:43:58,27889.0,27889.0,3.958929237,6000480
7f97c91dbc81,julia,2d,low,500,19:44:57,27889.0,27889.0,3.982911667,6000480
0ca00f860af1,julia,2d,mid,750,19:45:32,62500.0,62500.0,9.308754814,13500576
7cd4ed75128d,julia,2d,high,1000,19:47:17,110889.00000000003,110889.0,18.654245255,24000480
c986dacc7352,julia,2d,mid,750,19:47:34,62500.0,62500.0,9.369593298,13500576
fbb9a22763f4,julia,2d,low,500,19:58:58,27889.0,27889.0,4.009007322,6000480
37e769a62036,julia,2d,mid,750,20:01:41,62500.0,62500.0,9.356334102,13500576
61e71288fdd6,julia,2d,low,500,20:01:52,27889.0,27889.0,3.961636368,6000480
bb99ba131632,julia,2d,high,1000,20:03:20,110889.00000000003,110889.0,18.634811924,24000480
f7b22e8bb439,julia,2d,high,1000,20:05:10,110889.00000000003,110889.0,18.905070183,24000480
cbac2860ca7d,julia,2d,high,1000,20:05:59,110889.00000000003,110889.0,18.749879356,24000480
3653dc42f78c,julia,2d,mid,750,20:09:23,62500.0,62500.0,9.405333612,13500576
7d2621ffcf89,julia,2d,high,1000,20:09:53,110889.00000000003,110889.0,18.876461424,24000480
88a681a78da2,julia,2d,low,500,20:10:10,27889.0,27889.0,3.95910082,6000480
e58eb048c0a9,julia,2d,high,1000,20:13:07,110889.00000000003,110889.0,18.497680809,24000480
2a8348192789,julia,2d,low,500,20:14:02,27889.0,27889.0,4.002783966,6000480
ce6524879ab2,julia,2d,high,1000,20:16:08,110889.00000000003,110889.0,18.588477912,24000480
fd0799fd5f57,julia,2d,low,500,20:17:00,27889.0,27889.0,3.998608559,6000480
826f92c73a6e,julia,2d,high,1000,20:18:15,110889.00000000003,110889.0,18.603728387,24000480
bf1d4d5da96a,julia,2d,low,500,20:18:58,27889.0,27889.0,4.11648733,6000480
32afd69ce169,julia,2d,high,1000,20:27:32,110889.00000000003,110889.0,18.587215413,24000480
5374e41c565e,julia,2d,high,1000,20:28:39,110889.00000000003,110889.0,18.67823255,24000480
baa11265f564,julia,2d,low,500,20:31:39,27889.0,27889.0,4.005219874,6000480
9caf7f6e62c3,julia,2d,high,1000,20:32:06,110889.00000000003,110889.0,19.044091348,24000480
b8e55fe2e80b,julia,2d,mid,750,20:34:12,62500.0,62500.0,9.374180523,13500576
c5c476b86874,julia,2d,high,1000,20:34:42,110889.00000000003,110889.0,18.568639306,24000480
fa640856cfa6,julia,2d,high,1000,20:38:54,110889.00000000003,110889.0,18.64441423,24000480
1d7ed5c1004f,julia,2d,mid,750,20:45:19,62500.0,62500.0,9.27710594,13500576
ffa3783ed113,julia,2d,low,500,20:46:26,27889.0,27889.0,3.984373146,6000480
7a9002cedee2,julia,2d,mid,750,20:46:43,62500.0,62500.0,9.475712587,13500576
647be608d9ed,julia,2d,mid,750,20:49:26,62500.0,62500.0,9.39251025,13500576
0aeb9b3b9979,julia,2d,high,1000,20:50:30,110889.00000000003,110889.0,18.49712314,24000480
d4cd3528e635,julia,2d,low,500,20:51:08,27889.0,27889.0,3.96244679,6000480
