ContainerID,language,dimension,Size,L_Value,Timestamp,sum_t0,sum_tmax,t_exec,peak_mem
003dc99917d4,python,2d,high,1000,17:34:15,110889.0,110889.0,47.18680839499575,40070520
44e565b9b961,python,2d,mid,750,17:35:09,62500.000000000015,62500.0,25.244950516003883,22586464
b3b71fa2a299,python,2d,low,500,17:37:59,27889.000000000004,27889.0,16.001054066000506,10102464
85baebe5e583,python,2d,mid,750,17:38:32,62500.000000000015,62500.0,27.473091779000242,22586464
cd2abbca9b29,python,2d,high,1000,17:39:59,110889.0,110889.0,46.857403990012244,40070520
d259f4734d93,python,2d,high,1000,17:41:17,110889.0,110889.0,45.28092745000322,40070520
305ac3a2def8,python,2d,mid,750,17:41:46,62500.000000000015,62500.0,27.156747894987348,22586464
e30895172250,python,2d,high,1000,17:46:17,110889.0,110889.0,46.94115336799587,40070520
de1d4707ed8c,python,2d,mid,750,17:48:03,62500.000000000015,62500.0,27.169445252002333,22586464
fe4b9ef86e39,python,2d,high,1000,17:53:19,110889.0,110889.0,46.819469152993406,40070520
7fb2b9f7ca1f,python,2d,low,500,17:54:29,27889.000000000004,27889.0,15.946249720000196,10102464
b3a84813ec78,python,2d,mid,750,17:57:21,62500.000000000015,62500.0,27.667274035004084,22586464
577fa490a4ae,python,2d,high,1000,17:58:09,110889.0,110889.0,45.27538611499767,40070520
b25395335f7b,python,2d,high,1000,17:59:58,110889.0,110889.0,46.85197274599341,40070520
f549b7f9a231,python,2d,high,1000,18:02:25,110889.0,110889.0,45.1030099280033,40070520
74c708104804,python,2d,low,500,18:09:09,27889.000000000004,27889.0,15.913887799004442,10102464
f0f0a8654243,python,2d,high,1000,18:10:54,110889.0,110889.0,45.21350383599929,40070520
1d1e5f0627ed,python,2d,mid,750,18:11:23,62500.000000000015,62500.0,27.292119592006202,22586464
36dc612124bf,python,2d,high,1000,18:12:21,110889.0,110889.0,46.98743954200472,40070520
705269834c18,python,2d,high,1000,18:15:37,110889.0,110889.0,45.2284726939979,40070520
845f476b115f,python,2d,mid,750,18:16:34,62500.000000000015,62500.0,25.405815182995866,22586464
e00e58c5f6b3,python,2d,mid,750,18:20:47,62500.000000000015,62500.0,27.126779571990483,22586464
c072e35a4bb2,python,2d,mid,750,18:21:17,62500.000000000015,62500.0,26.974502561992267,22586464
2afca089e0a9,python,2d,low,500,18:23:38,27889.000000000004,27889.0,15.93480543800979,10102464
511ce421849e,python,2d,low,500,18:27:44,27889.000000000004,27889.0,15.907127155995113,10102464
88fb96021e93,python,2d,high,1000,18:28:35,110889.0,110889.0,46.90847274300177,40070520
a93a7b2c9361,python,2d,low,500,18:29:10,27889.000000000004,27889.0,15.885791081003845,10102464
d0d3d079ffcf,python,2d,high,1000,18:30:52,110889.0,110889.0,45.30923071601137,40070520
ebe844a333e2,python,2d,high,1000,18:32:33,110889.0,110889.0,46.988478118000785,40070520
ecc55f9996b0,python,2d,low,500,18:42:14,27889.000000000004,27889.0,15.827577282005223,10102464
fd60fb05fa8c,python,2d,high,1000,18:46:29,110889.0,110889.0,45.29164273200149,40070520
e7655a3e5583,python,2d,mid,750,18:51:10,62500.000000000015,62500.0,26.97120352499769,22586464
98dea71b3eab,python,2d,mid,750,18:52:49,62500.000000000015,62500.0,26.86681031899934,22586464
2953fc066472,python,2d,mid,750,18:58:54,62500.000000000015,62500.0,26.832274011991103,22586464
4855965feb2b,python,2d,low,500,18:59:29,27889.000000000004,27889.0,15.832674620003672,10102464
3111984f32e5,python,2d,low,500,19:01:28,27889.000000000004,27889.0,15.86864357900049,10102464
f766def5c0a9,python,2d,high,1000,19:04:57,110889.0,110889.0,46.785801325007924,40070520
2d4839bf3c11,python,2d,high,1000,19:05:45,110889.0,110889.0,46.798866325989366,40070520
