5636f343b572   jupyter   8.17%     193.1MiB / 7.463GiB   2.53%     383kB / 8.5MB   119MB / 12.3kB   6
CONTAINER ID   NAME      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O         BLOCK I/O        PIDS
5636f343b572   jupyter   0.00%     193.1MiB / 7.463GiB   2.53%     383kB / 8.5MB   119MB / 12.3kB   6
CONTAINER ID   NAME      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O         BLOCK I/O        PIDS
5636f343b572   jupyter   14.72%    193.1MiB / 7.463GiB   2.53%     383kB / 8.5MB   119MB / 12.3kB   6
CONTAINER ID   NAME      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O         BLOCK I/O        PIDS
5636f343b572   jupyter   0.01%     193.1MiB / 7.463GiB   2.53%     383kB / 8.5MB   119MB / 12.3kB   6
CONTAINER ID   NAME      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O         BLOCK I/O        PIDS
5636f343b572   jupyter   16.90%    193.1MiB / 7.463GiB   2.53%     383kB / 8.5MB   119MB / 12.3kB   6
CONTAINER ID   NAME      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O         BLOCK I/O        PIDS
5636f343b572   jupyter   0.01%     193.1MiB / 7.463GiB   2.53%     383kB / 8.5MB   119MB / 12.3kB   6
