CONTAINER ID   NAME      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O     BLOCK I/O    PIDS
a137ba0f767c   jupyter   95.22%    53.07MiB / 7.463GiB   0.69%     741B / 0B   332kB / 0B   2
CONTAINER ID   NAME      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O       BLOCK I/O    PIDS
a137ba0f767c   jupyter   0.00%     72.13MiB / 7.463GiB   0.94%     3.65kB / 0B   332kB / 0B   2
CONTAINER ID   NAME      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O       BLOCK I/O    PIDS
a137ba0f767c   jupyter   7.71%     72.18MiB / 7.463GiB   0.94%     4.55kB / 0B   332kB / 0B   2
CONTAINER ID   NAME      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O      BLOCK I/O    PIDS
a137ba0f767c   jupyter   0.01%     72.18MiB / 7.463GiB   0.94%     5.3kB / 0B   332kB / 0B   2
CONTAINER ID   NAME      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O       BLOCK I/O    PIDS
a137ba0f767c   jupyter   13.52%    72.18MiB / 7.463GiB   0.94%     5.46kB / 0B   332kB / 0B   2
CONTAINER ID   NAME      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O       BLOCK I/O    PIDS
a137ba0f767c   jupyter   0.01%     72.18MiB / 7.463GiB   0.94%     5.46kB / 0B   332kB / 0B   2
CONTAINER ID   NAME      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O       BLOCK I/O    PIDS
a137ba0f767c   jupyter   12.77%    72.18MiB / 7.463GiB   0.94%     5.53kB / 0B   332kB / 0B   2
CONTAINER ID   NAME      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O       BLOCK I/O    PIDS
a137ba0f767c   jupyter   0.00%     72.18MiB / 7.463GiB   0.94%     5.74kB / 0B   332kB / 0B   2
CONTAINER ID   NAME      CPU %     MEM USAGE / LIMIT    MEM %     NET I/O       BLOCK I/O    PIDS
a137ba0f767c   jupyter   12.94%    72.2MiB / 7.463GiB   0.94%     5.74kB / 0B   332kB / 0B   2
CONTAINER ID   NAME      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O       BLOCK I/O    PIDS
a137ba0f767c   jupyter   0.01%     72.18MiB / 7.463GiB   0.94%     5.74kB / 0B   332kB / 0B   2
CONTAINER ID   NAME      CPU %     MEM USAGE / LIMIT    MEM %     NET I/O       BLOCK I/O    PIDS
a137ba0f767c   jupyter   13.19%    72.2MiB / 7.463GiB   0.94%     5.74kB / 0B   332kB / 0B   2
CONTAINER ID   NAME      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O       BLOCK I/O    PIDS
a137ba0f767c   jupyter   0.00%     72.18MiB / 7.463GiB   0.94%     5.74kB / 0B   332kB / 0B   2
CONTAINER ID   NAME      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O       BLOCK I/O    PIDS
a137ba0f767c   jupyter   11.53%    72.23MiB / 7.463GiB   0.95%     5.81kB / 0B   332kB / 0B   2
CONTAINER ID   NAME      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O       BLOCK I/O    PIDS
a137ba0f767c   jupyter   0.01%     72.18MiB / 7.463GiB   0.94%     6.01kB / 0B   332kB / 0B   2
CONTAINER ID   NAME      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O       BLOCK I/O    PIDS
a137ba0f767c   jupyter   12.56%    72.19MiB / 7.463GiB   0.94%     6.01kB / 0B   332kB / 0B   2
CONTAINER ID   NAME      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O       BLOCK I/O    PIDS
a137ba0f767c   jupyter   0.01%     72.18MiB / 7.463GiB   0.94%     6.01kB / 0B   332kB / 0B   2
CONTAINER ID   NAME      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O       BLOCK I/O    PIDS
a137ba0f767c   jupyter   12.31%    72.25MiB / 7.463GiB   0.95%     6.01kB / 0B   332kB / 0B   2
CONTAINER ID   NAME      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O       BLOCK I/O    PIDS
