CONTAINER ID   NAME      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O     BLOCK I/O     PIDS
5636f343b572   jupyter   72.60%    148.9MiB / 7.463GiB   1.95%     787B / 0B   86.3MB / 0B   9
CONTAINER ID   NAME      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O       BLOCK I/O    PIDS
5636f343b572   jupyter   0.01%     172.8MiB / 7.463GiB   2.26%     6.65kB / 0B   106MB / 0B   2
CONTAINER ID   NAME      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O       BLOCK I/O    PIDS
5636f343b572   jupyter   9.21%     173.1MiB / 7.463GiB   2.27%     8.13kB / 0B   106MB / 0B   2
CONTAINER ID   NAME      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O       BLOCK I/O    PIDS
5636f343b572   jupyter   0.01%     173.1MiB / 7.463GiB   2.27%     9.08kB / 0B   106MB / 0B   2
CONTAINER ID   NAME      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O         BLOCK I/O    PIDS
5636f343b572   jupyter   13.31%    173.7MiB / 7.463GiB   2.27%     10.8kB / 658B   106MB / 0B   2
CONTAINER ID   NAME      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O         BLOCK I/O    PIDS
5636f343b572   jupyter   0.01%     173.7MiB / 7.463GiB   2.27%     10.8kB / 658B   106MB / 0B   2
CONTAINER ID   NAME      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O    PIDS
5636f343b572   jupyter   12.04%    173.7MiB / 7.463GiB   2.27%     11.8kB / 1.11kB   106MB / 0B   2
CONTAINER ID   NAME      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O    PIDS
5636f343b572   jupyter   0.01%     173.7MiB / 7.463GiB   2.27%     12.3kB / 1.11kB   106MB / 0B   2
CONTAINER ID   NAME      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O    PIDS
5636f343b572   jupyter   11.72%    173.7MiB / 7.463GiB   2.27%     12.3kB / 1.11kB   106MB / 0B   2
CONTAINER ID   NAME      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O    PIDS
5636f343b572   jupyter   0.01%     173.7MiB / 7.463GiB   2.27%     12.3kB / 1.11kB   106MB / 0B   2
CONTAINER ID   NAME      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O    PIDS
5636f343b572   jupyter   12.50%    173.7MiB / 7.463GiB   2.27%     12.3kB / 1.11kB   106MB / 0B   2
CONTAINER ID   NAME      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O        BLOCK I/O    PIDS
5636f343b572   jupyter   0.44%     174.6MiB / 7.463GiB   2.28%     14.3kB / 8kB   106MB / 0B   2
CONTAINER ID   NAME      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O    PIDS
5636f343b572   jupyter   16.61%    174.6MiB / 7.463GiB   2.28%     14.3kB / 8.06kB   106MB / 0B   2
CONTAINER ID   NAME      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O    PIDS
5636f343b572   jupyter   0.01%     174.6MiB / 7.463GiB   2.28%     14.8kB / 8.06kB   106MB / 0B   2
CONTAINER ID   NAME      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O    PIDS
5636f343b572   jupyter   12.06%    174.6MiB / 7.463GiB   2.29%     14.8kB / 8.06kB   106MB / 0B   2
CONTAINER ID   NAME      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O    PIDS
5636f343b572   jupyter   0.00%     174.6MiB / 7.463GiB   2.29%     14.8kB / 8.06kB   106MB / 0B   2
CONTAINER ID   NAME      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O    PIDS
5636f343b572   jupyter   13.35%    174.7MiB / 7.463GiB   2.29%     14.8kB / 8.06kB   106MB / 0B   2
CONTAINER ID   NAME      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O    PIDS
5636f343b572   jupyter   0.01%     174.6MiB / 7.463GiB   2.28%     14.8kB / 8.06kB   106MB / 0B   2
CONTAINER ID   NAME      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O    PIDS
5636f343b572   jupyter   11.60%    174.7MiB / 7.463GiB   2.29%     14.9kB / 8.13kB   106MB / 0B   2
CONTAINER ID   NAME      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O    PIDS
5636f343b572   jupyter   0.01%     174.6MiB / 7.463GiB   2.28%     14.9kB / 8.13kB   106MB / 0B   2
CONTAINER ID   NAME      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O    PIDS
5636f343b572   jupyter   7.90%     185.2MiB / 7.463GiB   2.42%     14.9kB / 8.13kB   106MB / 0B   4
CONTAINER ID   NAME      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O    PIDS
5636f343b572   jupyter   0.00%     174.6MiB / 7.463GiB   2.28%     14.9kB / 8.13kB   106MB / 0B   2
CONTAINER ID   NAME      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O    PIDS
5636f343b572   jupyter   0.19%     174.8MiB / 7.463GiB   2.29%     14.9kB / 8.13kB   106MB / 0B   3
CONTAINER ID   NAME      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O    PIDS
5636f343b572   jupyter   0.01%     174.6MiB / 7.463GiB   2.28%     14.9kB / 8.13kB   106MB / 0B   2
CONTAINER ID   NAME      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O          BLOCK I/O    PIDS
5636f343b572   jupyter   0.01%     174.6MiB / 7.463GiB   2.28%     14.9kB / 8.2kB   106MB / 0B   2
CONTAINER ID   NAME      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O          BLOCK I/O    PIDS
5636f343b572   jupyter   0.01%     174.6MiB / 7.463GiB   2.28%     14.9kB / 8.2kB   106MB / 0B   2
CONTAINER ID   NAME      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O    PIDS
5636f343b572   jupyter   0.01%     174.6MiB / 7.463GiB   2.28%     15.5kB / 8.28kB   106MB / 0B   2
CONTAINER ID   NAME      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O    PIDS
5636f343b572   jupyter   0.02%     174.6MiB / 7.463GiB   2.28%     15.5kB / 8.28kB   106MB / 0B   2
CONTAINER ID   NAME      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O    PIDS
5636f343b572   jupyter   0.00%     174.6MiB / 7.463GiB   2.28%     15.5kB / 8.28kB   106MB / 0B   2
CONTAINER ID   NAME      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O    PIDS
5636f343b572   jupyter   0.00%     174.6MiB / 7.463GiB   2.28%     15.5kB / 8.28kB   106MB / 0B   2
CONTAINER ID   NAME      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O    PIDS
5636f343b572   jupyter   0.01%     174.6MiB / 7.463GiB   2.28%     15.6kB / 8.35kB   106MB / 0B   2
CONTAINER ID   NAME      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O    PIDS
5636f343b572   jupyter   0.00%     174.6MiB / 7.463GiB   2.28%     15.6kB / 8.35kB   106MB / 0B   2
CONTAINER ID   NAME      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O    PIDS
5636f343b572   jupyter   0.00%     174.6MiB / 7.463GiB   2.28%     15.6kB / 8.35kB   106MB / 0B   2
CONTAINER ID   NAME      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O    PIDS
5636f343b572   jupyter   0.00%     174.6MiB / 7.463GiB   2.28%     15.6kB / 8.35kB   106MB / 0B   2
CONTAINER ID   NAME      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O    PIDS
5636f343b572   jupyter   0.01%     174.2MiB / 7.463GiB   2.28%     15.6kB / 8.35kB   106MB / 0B   2
CONTAINER ID   NAME      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O          BLOCK I/O    PIDS
5636f343b572   jupyter   0.01%     174.5MiB / 7.463GiB   2.28%     23.6kB / 203kB   106MB / 0B   2
CONTAINER ID   NAME      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O          BLOCK I/O    PIDS
5636f343b572   jupyter   0.01%     174.5MiB / 7.463GiB   2.28%     23.6kB / 203kB   106MB / 0B   2
CONTAINER ID   NAME      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O          BLOCK I/O    PIDS
5636f343b572   jupyter   0.01%     174.5MiB / 7.463GiB   2.28%     23.6kB / 203kB   106MB / 0B   2
CONTAINER ID   NAME      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O          BLOCK I/O    PIDS
5636f343b572   jupyter   0.00%     174.5MiB / 7.463GiB   2.28%     23.6kB / 203kB   106MB / 0B   2
CONTAINER ID   NAME      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O          BLOCK I/O    PIDS
5636f343b572   jupyter   0.00%     174.5MiB / 7.463GiB   2.28%     23.6kB / 203kB   106MB / 0B   2
CONTAINER ID   NAME      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O          BLOCK I/O    PIDS
5636f343b572   jupyter   0.00%     174.5MiB / 7.463GiB   2.28%     23.6kB / 203kB   106MB / 0B   2
CONTAINER ID   NAME      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O          BLOCK I/O    PIDS
5636f343b572   jupyter   0.00%     174.5MiB / 7.463GiB   2.28%     23.8kB / 204kB   106MB / 0B   2
CONTAINER ID   NAME      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O          BLOCK I/O    PIDS
5636f343b572   jupyter   0.00%     174.5MiB / 7.463GiB   2.28%     23.8kB / 204kB   106MB / 0B   2
CONTAINER ID   NAME      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O          BLOCK I/O    PIDS
5636f343b572   jupyter   0.00%     174.5MiB / 7.463GiB   2.28%     23.8kB / 204kB   106MB / 0B   2
CONTAINER ID   NAME      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O          BLOCK I/O    PIDS
5636f343b572   jupyter   0.00%     174.5MiB / 7.463GiB   2.28%     23.8kB / 204kB   106MB / 0B   2
CONTAINER ID   NAME      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O          BLOCK I/O    PIDS
5636f343b572   jupyter   0.01%     174.5MiB / 7.463GiB   2.28%     23.8kB / 204kB   106MB / 0B   2
CONTAINER ID   NAME      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O        BLOCK I/O    PIDS
5636f343b572   jupyter   0.01%     174.5MiB / 7.463GiB   2.28%     24kB / 204kB   106MB / 0B   2
CONTAINER ID   NAME      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O        BLOCK I/O    PIDS
5636f343b572   jupyter   0.01%     174.5MiB / 7.463GiB   2.28%     24kB / 204kB   106MB / 0B   2
CONTAINER ID   NAME      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O        BLOCK I/O    PIDS
5636f343b572   jupyter   0.01%     174.5MiB / 7.463GiB   2.28%     24kB / 204kB   106MB / 0B   2
CONTAINER ID   NAME      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O          BLOCK I/O    PIDS
5636f343b572   jupyter   0.00%     174.5MiB / 7.463GiB   2.28%     24.5kB / 204kB   106MB / 0B   2
CONTAINER ID   NAME      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O          BLOCK I/O    PIDS
5636f343b572   jupyter   0.01%     174.5MiB / 7.463GiB   2.28%     24.9kB / 204kB   106MB / 0B   2
CONTAINER ID   NAME      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O          BLOCK I/O    PIDS
5636f343b572   jupyter   1.68%     174.5MiB / 7.463GiB   2.28%     25.3kB / 204kB   106MB / 0B   2
CONTAINER ID   NAME      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O          BLOCK I/O    PIDS
5636f343b572   jupyter   0.01%     174.5MiB / 7.463GiB   2.28%     25.5kB / 204kB   106MB / 0B   2
CONTAINER ID   NAME      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O          BLOCK I/O    PIDS
5636f343b572   jupyter   12.04%    174.6MiB / 7.463GiB   2.28%     25.6kB / 204kB   106MB / 0B   2
CONTAINER ID   NAME      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O          BLOCK I/O    PIDS
5636f343b572   jupyter   0.01%     174.5MiB / 7.463GiB   2.28%     25.7kB / 204kB   106MB / 0B   2
CONTAINER ID   NAME      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O          BLOCK I/O    PIDS
5636f343b572   jupyter   12.32%    174.6MiB / 7.463GiB   2.28%     25.7kB / 204kB   106MB / 0B   2
CONTAINER ID   NAME      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O          BLOCK I/O    PIDS
5636f343b572   jupyter   0.01%     174.5MiB / 7.463GiB   2.28%     25.7kB / 204kB   106MB / 0B   2
CONTAINER ID   NAME      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O          BLOCK I/O    PIDS
5636f343b572   jupyter   12.02%    174.5MiB / 7.463GiB   2.28%     25.7kB / 204kB   106MB / 0B   2
CONTAINER ID   NAME      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O          BLOCK I/O    PIDS
5636f343b572   jupyter   0.01%     174.5MiB / 7.463GiB   2.28%     25.9kB / 204kB   106MB / 0B   2
CONTAINER ID   NAME      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O          BLOCK I/O    PIDS
5636f343b572   jupyter   11.93%    174.6MiB / 7.463GiB   2.28%     25.9kB / 204kB   106MB / 0B   2
CONTAINER ID   NAME      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O          BLOCK I/O    PIDS
5636f343b572   jupyter   0.01%     174.5MiB / 7.463GiB   2.28%     25.9kB / 204kB   106MB / 0B   2
CONTAINER ID   NAME      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O          BLOCK I/O    PIDS
5636f343b572   jupyter   12.11%    174.5MiB / 7.463GiB   2.28%     25.9kB / 204kB   106MB / 0B   2
CONTAINER ID   NAME      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O          BLOCK I/O    PIDS
5636f343b572   jupyter   0.01%     174.5MiB / 7.463GiB   2.28%     25.9kB / 204kB   106MB / 0B   2
CONTAINER ID   NAME      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O          BLOCK I/O    PIDS
5636f343b572   jupyter   16.70%    174.5MiB / 7.463GiB   2.28%     25.9kB / 204kB   106MB / 0B   2
CONTAINER ID   NAME      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O          BLOCK I/O    PIDS
5636f343b572   jupyter   0.01%     174.5MiB / 7.463GiB   2.28%     26.1kB / 204kB   106MB / 0B   2
CONTAINER ID   NAME      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O          BLOCK I/O    PIDS
5636f343b572   jupyter   14.72%    174.5MiB / 7.463GiB   2.28%     26.1kB / 204kB   106MB / 0B   2
CONTAINER ID   NAME      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O          BLOCK I/O    PIDS
5636f343b572   jupyter   4.49%     175.4MiB / 7.463GiB   2.30%     44.3kB / 802kB   107MB / 0B   2
CONTAINER ID   NAME      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O          BLOCK I/O    PIDS
5636f343b572   jupyter   96.75%    194.6MiB / 7.463GiB   2.55%     151kB / 7.95MB   116MB / 0B   4
CONTAINER ID   NAME      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O          BLOCK I/O       PIDS
5636f343b572   jupyter   0.01%     194.6MiB / 7.463GiB   2.55%     157kB / 7.96MB   116MB / 4.1kB   4
CONTAINER ID   NAME      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O          BLOCK I/O       PIDS
5636f343b572   jupyter   13.19%    208.9MiB / 7.463GiB   2.73%     157kB / 7.96MB   116MB / 4.1kB   6
CONTAINER ID   NAME      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O          BLOCK I/O       PIDS
5636f343b572   jupyter   0.01%     194.6MiB / 7.463GiB   2.55%     158kB / 7.96MB   116MB / 4.1kB   4
CONTAINER ID   NAME      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O          BLOCK I/O       PIDS
5636f343b572   jupyter   0.10%     194.9MiB / 7.463GiB   2.55%     161kB / 7.96MB   116MB / 4.1kB   4
CONTAINER ID   NAME      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O          BLOCK I/O       PIDS
5636f343b572   jupyter   0.01%     194.7MiB / 7.463GiB   2.55%     163kB / 7.96MB   116MB / 4.1kB   4
CONTAINER ID   NAME      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O          BLOCK I/O       PIDS
5636f343b572   jupyter   0.01%     194.7MiB / 7.463GiB   2.55%     163kB / 7.96MB   116MB / 4.1kB   4
CONTAINER ID   NAME      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O          BLOCK I/O       PIDS
5636f343b572   jupyter   0.01%     194.7MiB / 7.463GiB   2.55%     163kB / 7.96MB   116MB / 4.1kB   4
CONTAINER ID   NAME      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O          BLOCK I/O       PIDS
5636f343b572   jupyter   0.01%     194.7MiB / 7.463GiB   2.55%     167kB / 7.96MB   116MB / 4.1kB   4
CONTAINER ID   NAME      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O          BLOCK I/O       PIDS
5636f343b572   jupyter   1.30%     194.7MiB / 7.463GiB   2.55%     170kB / 7.97MB   116MB / 4.1kB   4
CONTAINER ID   NAME      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O          BLOCK I/O        PIDS
5636f343b572   jupyter   0.00%     194.7MiB / 7.463GiB   2.55%     172kB / 7.97MB   116MB / 8.19kB   4
