ContainerID,language,dimension,Size,L_Value,Timestamp,CPUPerc,MemUsed,MemLimit,NetReceived,NetSent,BlockRead,BlockWritten
215b8710595c,python,1d,mid,2000,17:37:59,0.00%,0B,0B,0B,0B,0B,0B
849548a679ad,python,1d,mid,2000,17:38:32,0.00%,0B,0B,0B,0B,0B,0B
4063be5719f5,python,1d,mid,2000,17:39:05,0.00%,0B,0B,0B,0B,0B,0B
5ad0d2351dbe,python,1d,mid,2000,17:39:08,0.00%,0B,0B,0B,0B,0B,0B
a4976fb311ce,python,1d,low,1000,17:40:26,0.00%,0B,0B,0B,0B,0B,0B
6961b04aefed,python,1d,low,1000,17:42:16,0.00%,0B,0B,0B,0B,0B,0B
4e77c3a78eff,python,1d,high,10000,17:44:30,0.00%,0B,0B,0B,0B,0B,0B
37e733fc5d6e,python,1d,low,1000,17:45:26,0.00%,0B,0B,0B,0B,0B,0B
e55d223bb8bc,python,1d,low,1000,17:46:17,0.00%,0B,0B,0B,0B,0B,0B
945cd2ce942c,python,1d,low,1000,17:47:28,0.00%,0B,0B,0B,0B,0B,0B
faea1610e891,python,1d,low,1000,17:48:04,0.00%,0B,0B,0B,0B,0B,0B
b405aed6ac76,python,1d,mid,2000,17:50:03,0.00%,0B,0B,0B,0B,0B,0B
2f3308078f04,python,1d,low,1000,17:56:03,0.00%,0B,0B,0B,0B,0B,0B
f0d8a7c1d679,python,1d,high,10000,17:59:58,0.00%,0B,0B,0B,0B,0B,0B
c00cce1183be,python,1d,high,10000,18:01:34,0.00%,0B,0B,0B,0B,0B,0B
54501ba87821,python,1d,high,10000,18:05:29,0.00%,0B,0B,0B,0B,0B,0B
ec7ee2aef274,python,1d,low,1000,18:05:33,0.00%,0B,0B,0B,0B,0B,0B
27db4a6f5737,python,1d,low,1000,18:11:24,0.00%,0B,0B,0B,0B,0B,0B
eddc522b1909,python,1d,low,1000,18:11:30,0.00%,0B,0B,0B,0B,0B,0B
47ccaec20067,python,1d,high,10000,18:16:37,0.00%,0B,0B,0B,0B,0B,0B
b5b72739e788,python,1d,high,10000,18:17:33,0.00%,0B,0B,0B,0B,0B,0B
5625074ac89e,python,1d,low,1000,18:17:36,0.00%,0B,0B,0B,0B,0B,0B
72f7553720a5,python,1d,mid,2000,18:18:09,0.00%,0B,0B,0B,0B,0B,0B
0f5bfaf40f58,python,1d,high,10000,18:21:17,0.00%,0B,0B,0B,0B,0B,0B
9ee14846fac1,python,1d,mid,2000,18:22:25,0.00%,0B,0B,0B,0B,0B,0B
cf778726021d,python,1d,low,1000,18:27:22,0.00%,0B,0B,0B,0B,0B,0B
51278807bf0f,python,1d,mid,2000,18:27:44,0.00%,0B,0B,0B,0B,0B,0B
bea01210b4fc,python,1d,high,10000,18:28:49,0.00%,0B,0B,0B,0B,0B,0B
8688b16a0ecd,python,1d,mid,2000,18:32:33,0.00%,0B,0B,0B,0B,0B,0B
6d730cc87564,python,1d,mid,2000,18:33:14,0.00%,0B,0B,0B,0B,0B,0B
996c20d33fb6,python,1d,mid,2000,18:34:34,0.00%,0B,0B,0B,0B,0B,0B
ef4adf59a419,python,1d,low,1000,18:34:37,0.00%,0B,0B,0B,0B,0B,0B
e571a314b926,python,1d,low,1000,18:34:43,0.00%,0B,0B,0B,0B,0B,0B
07e94bac0bc1,python,1d,low,1000,18:35:45,0.00%,0B,0B,0B,0B,0B,0B
523d33182a48,python,1d,low,1000,18:37:22,0.00%,0B,0B,0B,0B,0B,0B
afa2114b2581,python,1d,high,10000,18:42:14,0.00%,0B,0B,0B,0B,0B,0B
eddd1d7082c1,python,1d,mid,2000,18:43:32,0.00%,0B,0B,0B,0B,0B,0B
d049e655ed73,python,1d,low,1000,18:49:09,0.00%,0B,0B,0B,0B,0B,0B
4c184648c731,python,1d,mid,2000,18:49:12,0.00%,0B,0B,0B,0B,0B,0B
