ContainerID,language,dimension,Size,L_Value,Timestamp,CPUPerc,MemUsed,MemLimit,NetReceived,NetSent,BlockRead,BlockWritten
e22f46103215,python,3d,low,50,17:31:26,89.45%,17.63MiB,7.463GiB,979B,0B,17MB,0B
e22f46103215,python,3d,low,50,17:31:28,99.61%,17.62MiB,7.463GiB,2.41kB,0B,17MB,0B
e22f46103215,python,3d,low,50,17:31:31,100.01%,18.64MiB,7.463GiB,2.88kB,0B,17MB,0B
e22f46103215,python,3d,low,50,17:31:34,99.89%,18.95MiB,7.463GiB,3.09kB,0B,17MB,0B
e22f46103215,python,3d,low,50,17:31:36,0.00%,0B,0B,0B,0B,0B,0B
fc89674825d9,python,3d,low,50,17:32:32,99.31%,17.01MiB,7.463GiB,526B,0B,24.6kB,0B
fc89674825d9,python,3d,low,50,17:32:34,99.63%,18.59MiB,7.463GiB,2.54kB,0B,24.6kB,0B
fc89674825d9,python,3d,low,50,17:32:37,100.39%,17.1MiB,7.463GiB,3.02kB,0B,24.6kB,0B
fc89674825d9,python,3d,low,50,17:32:39,100.40%,17.99MiB,7.463GiB,3.22kB,0B,24.6kB,0B
fc89674825d9,python,3d,low,50,17:32:42,100.15%,17.82MiB,7.463GiB,3.22kB,0B,24.6kB,0B
c3b1be8c3f22,python,3d,mid,75,17:35:45,99.86%,23.81MiB,7.463GiB,526B,0B,24.6kB,0B
c3b1be8c3f22,python,3d,mid,75,17:35:48,99.49%,26.84MiB,7.463GiB,2.21kB,0B,24.6kB,0B
c3b1be8c3f22,python,3d,mid,75,17:35:50,100.01%,26.73MiB,7.463GiB,2.88kB,0B,24.6kB,0B
c3b1be8c3f22,python,3d,mid,75,17:35:53,99.73%,28.21MiB,7.463GiB,3.09kB,0B,24.6kB,0B
c3b1be8c3f22,python,3d,mid,75,17:35:56,100.26%,26.73MiB,7.463GiB,3.09kB,0B,24.6kB,0B
c3b1be8c3f22,python,3d,mid,75,17:35:58,100.26%,29.63MiB,7.463GiB,3.16kB,0B,24.6kB,0B
c3b1be8c3f22,python,3d,mid,75,17:36:01,100.26%,29.03MiB,7.463GiB,3.36kB,0B,24.6kB,0B
c3b1be8c3f22,python,3d,mid,75,17:36:03,100.26%,26.68MiB,7.463GiB,3.36kB,0B,24.6kB,0B
c3b1be8c3f22,python,3d,mid,75,17:36:06,100.14%,28.95MiB,7.463GiB,3.36kB,0B,24.6kB,0B
c3b1be8c3f22,python,3d,mid,75,17:36:09,100.54%,23.78MiB,7.463GiB,3.36kB,0B,24.6kB,0B
c3b1be8c3f22,python,3d,mid,75,17:36:11,99.61%,29.38MiB,7.463GiB,3.36kB,0B,24.6kB,0B
36872024954b,python,3d,mid,75,17:36:15,99.75%,29.64MiB,7.463GiB,979B,0B,12.3kB,0B
36872024954b,python,3d,mid,75,17:36:17,100.39%,26.67MiB,7.463GiB,2.41kB,0B,12.3kB,0B
36872024954b,python,3d,mid,75,17:36:20,100.51%,28.02MiB,7.463GiB,2.88kB,0B,12.3kB,0B
36872024954b,python,3d,mid,75,17:36:22,99.97%,26.61MiB,7.463GiB,3.09kB,0B,12.3kB,0B
36872024954b,python,3d,mid,75,17:36:25,100.54%,23.76MiB,7.463GiB,3.09kB,0B,12.3kB,0B
36872024954b,python,3d,mid,75,17:36:28,99.87%,27.73MiB,7.463GiB,3.16kB,0B,12.3kB,0B
36872024954b,python,3d,mid,75,17:36:30,100.24%,23.76MiB,7.463GiB,3.36kB,0B,12.3kB,0B
36872024954b,python,3d,mid,75,17:36:33,100.14%,26.73MiB,7.463GiB,3.36kB,0B,12.3kB,0B
36872024954b,python,3d,mid,75,17:36:36,99.88%,26.63MiB,7.463GiB,3.36kB,0B,12.3kB,0B
36872024954b,python,3d,mid,75,17:36:38,99.61%,23.78MiB,7.463GiB,3.36kB,0B,12.3kB,0B
36872024954b,python,3d,mid,75,17:36:41,99.27%,26.62MiB,7.463GiB,3.36kB,0B,12.3kB,0B
5858bf3344f3,python,3d,mid,75,17:38:35,99.02%,26.63MiB,7.463GiB,526B,0B,16.4kB,0B
5858bf3344f3,python,3d,mid,75,17:38:38,100.12%,27.54MiB,7.463GiB,2.41kB,0B,16.4kB,0B
5858bf3344f3,python,3d,mid,75,17:38:40,100.39%,23.86MiB,7.463GiB,2.88kB,0B,16.4kB,0B
5858bf3344f3,python,3d,mid,75,17:38:43,100.26%,28.01MiB,7.463GiB,3.09kB,0B,16.4kB,0B
5858bf3344f3,python,3d,mid,75,17:38:46,99.76%,23.83MiB,7.463GiB,3.09kB,0B,16.4kB,0B
5858bf3344f3,python,3d,mid,75,17:38:48,100.14%,27.86MiB,7.463GiB,3.09kB,0B,16.4kB,0B
5858bf3344f3,python,3d,mid,75,17:38:51,99.86%,26.68MiB,7.463GiB,3.36kB,0B,16.4kB,0B
5858bf3344f3,python,3d,mid,75,17:38:54,100.14%,24.43MiB,7.463GiB,3.36kB,0B,16.4kB,0B
