ContainerID,language,dimension,Size,L_Value,Timestamp,CPUPerc,MemUsed,MemLimit,NetReceived,NetSent,BlockRead,BlockWritten
1c4e12d285f9,julia,1d,low,1000,17:31:19,85.19%,143.5MiB,7.463GiB,526B,0B,231MB,0B
12ed5b641235,julia,1d,low,1000,17:31:22,100.04%,143.9MiB,7.463GiB,656B,0B,0B,0B
536fdd9365e7,julia,1d,mid,2000,17:32:45,100.63%,143.9MiB,7.463GiB,906B,0B,0B,0B
8ed403c9f00e,julia,1d,mid,2000,17:35:09,100.26%,144MiB,7.463GiB,526B,0B,0B,0B
ef2ac1728ed0,julia,1d,low,1000,17:37:34,100.64%,143.8MiB,7.463GiB,526B,0B,0B,0B
4a7af16a82ba,julia,1d,mid,2000,17:37:37,100.38%,143.9MiB,7.463GiB,526B,0B,0B,0B
39c0e8ad0e88,julia,1d,high,10000,17:46:21,100.38%,143.9MiB,7.463GiB,526B,0B,0B,0B
02c28b4aefca,julia,1d,mid,2000,17:47:31,100.26%,143.9MiB,7.463GiB,526B,0B,0B,0B
5dbbc77429a5,julia,1d,mid,2000,17:52:14,100.25%,143.9MiB,7.463GiB,526B,0B,0B,0B
3a61f1726e2f,julia,1d,high,10000,17:52:28,100.24%,144MiB,7.463GiB,526B,0B,0B,0B
dcfa63baf7cd,julia,1d,mid,2000,17:55:28,100.38%,143.9MiB,7.463GiB,526B,0B,0B,0B
5db9163f1cd6,julia,1d,high,10000,17:55:31,100.12%,143.9MiB,7.463GiB,526B,0B,0B,0B
b4d0b55c1379,julia,1d,mid,2000,17:58:36,100.39%,144MiB,7.463GiB,526B,0B,0B,0B
cf77e94978dd,julia,1d,mid,2000,17:58:40,99.99%,143.8MiB,7.463GiB,526B,0B,0B,0B
524562d26982,julia,1d,low,1000,18:00:49,100.51%,144MiB,7.463GiB,526B,0B,0B,0B
c9c5c51e9d75,julia,1d,high,10000,18:00:52,100.38%,144MiB,7.463GiB,526B,0B,0B,0B
5185aab1e698,julia,1d,mid,2000,18:01:17,100.50%,144MiB,7.463GiB,526B,0B,0B,0B
6feb0c316093,julia,1d,mid,2000,18:01:31,100.49%,143.9MiB,7.463GiB,526B,0B,0B,0B
6e801bc6f2fe,julia,1d,low,1000,18:08:48,100.79%,143.9MiB,7.463GiB,526B,0B,0B,0B
da67fb4e0dcc,julia,1d,mid,2000,18:11:27,100.13%,144MiB,7.463GiB,526B,0B,0B,0B
92dc61bcfad6,julia,1d,low,1000,18:13:20,100.25%,143.8MiB,7.463GiB,526B,0B,0B,0B
c2489a557cd9,julia,1d,low,1000,18:14:32,100.26%,144MiB,7.463GiB,526B,0B,0B,0B
5c878e49c2bd,julia,1d,high,10000,18:14:46,100.26%,144MiB,7.463GiB,526B,0B,0B,0B
d86f88be505b,julia,1d,high,10000,18:16:34,100.33%,144MiB,7.463GiB,656B,0B,0B,0B
7bce98689fd8,julia,1d,mid,2000,18:18:12,100.51%,144MiB,7.463GiB,526B,0B,0B,0B
f8b5c075a764,julia,1d,mid,2000,18:22:57,100.38%,143.9MiB,7.463GiB,526B,0B,0B,0B
c46408d2510b,julia,1d,high,10000,18:23:17,100.50%,143.9MiB,7.463GiB,776B,0B,0B,0B
d509f0d68d52,julia,1d,low,1000,18:24:40,100.51%,143.9MiB,7.463GiB,526B,0B,0B,0B
e0e0229ec654,julia,1d,low,1000,18:26:49,100.25%,143.9MiB,7.463GiB,526B,0B,0B,0B
708e79a28bbf,julia,1d,mid,2000,18:34:40,100.25%,143.9MiB,7.463GiB,686B,0B,0B,0B
61f80f6ecb81,julia,1d,mid,2000,18:39:49,100.38%,143.9MiB,7.463GiB,526B,0B,0B,0B
ed55d6f5e22b,julia,1d,high,10000,18:43:35,100.15%,143.9MiB,7.463GiB,1.28kB,0B,0B,0B
285854ba7285,julia,1d,mid,2000,18:45:38,101.05%,143.9MiB,7.463GiB,1.09kB,0B,0B,0B
b9e3a6480ce7,julia,1d,low,1000,18:47:26,100.27%,143.8MiB,7.463GiB,396B,0B,0B,0B
5b775bf4c400,julia,1d,high,10000,18:47:40,100.27%,143.9MiB,7.463GiB,979B,0B,0B,0B
3f1607b074cb,julia,1d,high,10000,18:49:05,100.48%,144.1MiB,7.463GiB,526B,0B,0B,0B
f8f54e01794d,julia,1d,high,10000,19:06:18,100.13%,144MiB,7.463GiB,526B,0B,0B,0B
8413498dad53,julia,1d,low,1000,19:07:44,100.53%,144MiB,7.463GiB,646B,0B,0B,0B
2904028e0bf7,julia,1d,high,10000,19:10:44,100.13%,144MiB,7.463GiB,526B,0B,0B,0B
bb6eaf1c5bc9,julia,1d,low,1000,19:11:51,100.27%,144MiB,7.463GiB,526B,0B,0B,0B
5e74521a8639,julia,1d,low,1000,19:12:43,100.39%,144.1MiB,7.463GiB,526B,0B,0B,0B
757c85b76083,julia,1d,mid,2000,19:14:00,100.78%,143.9MiB,7.463GiB,526B,0B,0B,0B
c16774ba8445,julia,1d,low,1000,19:19:56,100.38%,143.9MiB,7.463GiB,526B,0B,0B,0B
d64f8f9ded3d,julia,1d,high,10000,19:21:26,100.14%,144MiB,7.463GiB,526B,0B,0B,0B
086e0a85b0a5,julia,1d,low,1000,19:21:33,100.37%,144MiB,7.463GiB,526B,0B,0B,0B
64b6d5e42172,julia,1d,mid,2000,19:23:03,100.12%,143.9MiB,7.463GiB,526B,0B,0B,0B
ec4958b37e13,julia,1d,low,1000,19:23:58,100.51%,143.9MiB,7.463GiB,866B,0B,0B,0B
8156b1c18b98,julia,1d,low,1000,19:24:02,100.37%,143.9MiB,7.463GiB,526B,0B,0B,0B
3463294ae584,julia,1d,low,1000,19:24:37,100.25%,143.9MiB,7.463GiB,776B,0B,0B,0B
b96d5238946a,julia,1d,high,10000,19:29:48,100.23%,144MiB,7.463GiB,526B,0B,0B,0B
f35224f51282,julia,1d,high,10000,19:29:52,100.65%,144.1MiB,7.463GiB,526B,0B,0B,0B
f5f01a8985e0,julia,1d,high,10000,19:31:20,100.12%,144MiB,7.463GiB,526B,0B,0B,0B
16a0e13bf4ad,julia,1d,high,10000,19:31:24,100.26%,143.9MiB,7.463GiB,526B,0B,0B,0B
a15220709945,julia,1d,low,1000,19:32:33,100.05%,144MiB,7.463GiB,526B,0B,0B,0B
be7ca4106603,julia,1d,high,10000,19:34:00,100.46%,144MiB,7.463GiB,526B,0B,0B,0B
a1752e7a13e6,julia,1d,high,10000,19:38:51,100.89%,143.9MiB,7.463GiB,526B,0B,0B,0B
58f7902e5c22,julia,1d,low,1000,19:38:54,100.63%,144MiB,7.463GiB,526B,0B,0B,0B
f1a88261c2f2,julia,1d,mid,2000,19:38:57,100.24%,143.9MiB,7.463GiB,526B,0B,0B,0B
c4498aff8195,julia,1d,mid,2000,19:42:17,100.36%,144MiB,7.463GiB,776B,0B,0B,0B
95038763420c,julia,1d,mid,2000,19:42:49,100.50%,144MiB,7.463GiB,526B,0B,0B,0B
f758764d4d13,julia,1d,low,1000,19:46:26,100.60%,143.9MiB,7.463GiB,396B,0B,0B,0B
97f25a45487d,julia,1d,low,1000,19:47:34,100.21%,144MiB,7.463GiB,526B,0B,0B,0B
81b9fbd86f20,julia,1d,high,10000,19:51:32,100.40%,144MiB,7.463GiB,526B,0B,0B,0B
99c2a3b5b476,julia,1d,low,1000,19:55:40,99.99%,143.9MiB,7.463GiB,526B,0B,0B,0B
4a146f17e0b6,julia,1d,mid,2000,19:55:43,100.65%,143.9MiB,7.463GiB,526B,0B,0B,0B
bc6e162391c2,julia,1d,high,10000,19:56:16,100.66%,144MiB,7.463GiB,526B,0B,0B,0B
73c4d749de64,julia,1d,mid,2000,19:58:58,100.51%,143.9MiB,7.463GiB,526B,0B,0B,0B
bdcf1eea5e60,julia,1d,high,10000,20:00:08,100.22%,143.9MiB,7.463GiB,526B,0B,0B,0B
93a1888d6b4b,julia,1d,high,10000,20:00:11,100.37%,144.1MiB,7.463GiB,686B,0B,0B,0B
5f988676e718,julia,1d,mid,2000,20:00:15,100.38%,144MiB,7.463GiB,526B,0B,0B,0B
58eac0ce77b3,julia,1d,mid,2000,20:09:24,100.40%,144MiB,7.463GiB,526B,0B,0B,0B
e28ecf465adc,julia,1d,mid,2000,20:09:57,100.28%,144MiB,7.463GiB,526B,0B,0B,0B
13db825c38b2,julia,1d,low,1000,20:11:41,100.38%,143.9MiB,7.463GiB,526B,0B,0B,0B
ebe1097e8b1d,julia,1d,high,10000,20:12:38,100.11%,144MiB,7.463GiB,526B,0B,0B,0B
cb7234c32fa8,julia,1d,high,10000,20:14:02,100.64%,143.9MiB,7.463GiB,776B,0B,0B,0B
261daf62e2ae,julia,1d,mid,2000,20:16:46,100.51%,143.9MiB,7.463GiB,526B,0B,0B,0B
64cdc85b03d8,julia,1d,low,1000,20:20:29,100.19%,144MiB,7.463GiB,526B,0B,0B,0B
64be1e724dd0,julia,1d,low,1000,20:20:35,100.71%,144MiB,7.463GiB,526B,0B,0B,0B
6305d79552bc,julia,1d,high,10000,20:21:56,100.69%,144.1MiB,7.463GiB,526B,0B,0B,0B
44aa552008c1,julia,1d,low,1000,20:21:59,100.41%,144MiB,7.463GiB,526B,0B,0B,0B
e0649e05526f,julia,1d,low,1000,20:22:02,100.40%,144MiB,7.463GiB,526B,0B,0B,0B
ad6b15e2ba8f,julia,1d,high,10000,20:30:27,100.26%,144MiB,7.463GiB,526B,0B,0B,0B
b2886287bac2,julia,1d,low,1000,20:34:42,100.13%,144MiB,7.463GiB,526B,0B,0B,0B
e455db41ec89,julia,1d,high,10000,20:34:45,100.99%,143.9MiB,7.463GiB,2.01kB,0B,0B,0B
663028f57c89,julia,1d,high,10000,20:38:21,100.53%,144MiB,7.463GiB,526B,0B,0B,0B
cd6997bcc6ae,julia,1d,mid,2000,20:42:03,100.14%,144MiB,7.463GiB,526B,0B,0B,0B
2cf479867a35,julia,1d,mid,2000,20:46:12,100.78%,143.9MiB,7.463GiB,526B,0B,0B,0B
af6ec56e8013,julia,1d,low,1000,20:46:46,100.38%,144MiB,7.463GiB,526B,0B,0B,0B
0ad6ec036d17,julia,1d,high,10000,20:46:49,100.02%,143.8MiB,7.463GiB,526B,0B,0B,0B
5f8c3def6386,julia,1d,mid,2000,20:48:24,100.01%,143.9MiB,7.463GiB,526B,0B,0B,0B
